category,year level,question,choice_a,choice_b,choice_c,choice_d,correct_answer,is_active,difficulty_level
Math,Beginner (Grade 1-3),Write the words in symbols. Two thousand eight hundred ninety-five. Select the correct answer.,2985,2589,2895,2598,2895,1,Easy
Math,Beginner (Grade 1-3),Write the words in symbols. Nine thousand nine hundred ninety. Select the correct answer.,9990,9991,9998,9999,9990,1,Easy
Math,Beginner (Grade 1-3),"Round the number to the nearest hundred. 5,490 Select the correct answer.",5400,6000,5590,5500,5500,1,Easy
Math,Beginner (Grade 1-3),"Round the number to the nearest thousand. 1,518 Select the correct answer.",1000,1500,2000,1600,2000,1,Easy
Math,Beginner (Grade 1-3),"Round the number to the nearest ten. 1,005 Select the correct answer.",1001,1010,1000,1100,1010,1,Easy
Math,Beginner (Grade 1-3),"Round the number to the nearest hundred. 9,182 Select the correct answer.",9280,9200,9180,9100,9200,1,Easy
Math,Beginner (Grade 1-3),Round the number to the nearest ten. Select the correct answer.,1000,1080,1100,1180,1080,1,Easy
Math,Beginner (Grade 1-3),"Compare the numbers using relation symbols. 8,296 ___ 7,521 Select the correct answer.",<=,<, = ,>,>,1,Easy
Math,Beginner (Grade 1-3),"Compare the numbers using relation symbols. 2,503 ___ 1,391 Select the correct answer.",>,>=, = ,<,>,1,Easy
Math,Beginner (Grade 1-3),"Compare the numbers using relation symbols. 8,971 ___ 8,971 Select the correct answer.",<,>, = ,>=, = ,1,Easy
Math,Beginner (Grade 1-3),"Which number is less than the given number? 5,609 > _____ Select the correct answer.",7092,4039,7902,6116,4039,1,Easy
Math,Beginner (Grade 1-3),"Which number is greater than the given number? 9,907 < _____ Select the correct answer.","9,899","9,901","9,999","9,901","9,999",1,Easy
Math,Beginner (Grade 1-3),"If you will order the following numbers in increasing order, what number should come first?",4671,2561,6321,1486,1486,1,Easy
Math,Beginner (Grade 1-3),"If you will order the following numbers in increasing order, what number should come second?",10525,25814,31574,12542,12542,1,Easy
Math,Beginner (Grade 1-3),"If you will order the following numbers in decreasing order, what number should come first?",2561,1486,6321,4671,6321,1,Easy
Math,Beginner (Grade 1-3),"In what order are the numbers arranged? 3524, 3428, 2956, 2513",Decreasing Order,Increasing Order,Least to Greatest,Lowest to Highest,Decreasing Order,1,Easy
Math,Beginner (Grade 1-3),"In what order are the numbers arranged? 52,347   61,252   65,248   85,241",Greatest to Least,Decreasing Order,Highest to Lowest,Increasing Order,Increasing Order,1,Easy
Math,Beginner (Grade 1-3),Compare the coins and bills amount using relation symbols. 71 pesos _____ 71 pesos,>, = ,>=,<, = ,1,Easy
Math,Beginner (Grade 1-3),Compare the coins and bills amounts using relation symbols. 500 pesos _____ 420 pesos and 40 centavos,<,>, = ,>=,>,1,Easy
Math,Beginner (Grade 1-3),Compare the coins and bills amounts using relation symbols. 585 pesos _____ 700 pesos,>=,<, = ,>,<,1,Easy
Math,Beginner (Grade 1-3),Compare the coins and bills amounts using relation symbols. 1000 pesos _____ 530 pesos and 30 centavos,>,>=, = ,<,>,1,Easy
Math,Beginner (Grade 1-3),Compare the coins and bills amounts using relation symbols. 30 pesos and 45 centavos _____ 30 pesos and 40 centavos,<,>, = ,<=,>,1,Easy
Math,Beginner (Grade 1-3),"What is the sum of 3,423, 589 and 321?",4321,4343,4345,4333,4333,1,Easy
Math,Beginner (Grade 1-3),1289 + 226 + 152 = ________,1547,1667,1593,1675,1667,1,Easy
Math,Beginner (Grade 1-3),"What is the sum of 2177, 1021 and 146?",3344,3354,3256,3345,3344,1,Easy
Math,Beginner (Grade 1-3),6312 + 429 + 318 = ________,7201,6992,7059,6899,7059,1,Easy
Math,Beginner (Grade 1-3),Estimate the sum of 234 and 672.,1000,700,900,800,900,1,Easy
Math,Beginner (Grade 1-3),Select the correct answer from the choices given. 289 + 226 + 152 = ,600,900,800,700,700,1,Easy
Math,Beginner (Grade 1-3),Estimate the sum of 199 and 911.,1100,900,1000,1200,1100,1,Easy
Math,Beginner (Grade 1-3),Select the correct answer from the choices given. 312 + 429 = ,900,600,800,700,700,1,Easy
Math,Beginner (Grade 1-3),Mentally add 23 and 4. Select the correct answer.,27,28,26,25,27,1,Easy
Math,Beginner (Grade 1-3),Mentally add 56 and 14. Select the correct answer.,80,50,60,70,70,1,Easy
Math,Beginner (Grade 1-3),Mentally add 18 and 17. Select the correct answer.,37,35,33,32,35,1,Easy
Math,Beginner (Grade 1-3),Mentally add 99 and 72. Select the correct answer.,163,152,171,181,171,1,Easy
Math,Beginner (Grade 1-3),Mentally add 5 and 26. Select the correct answer.,21,31,34,20,31,1,Easy
Math,Beginner (Grade 1-3),Mentally add 23 and 400. Select the correct answer.,428,423,426,427,423,1,Easy
Math,Beginner (Grade 1-3),Mentally add 500 and 140. Select the correct answer.,660,640,650,630,640,1,Easy
Math,Beginner (Grade 1-3),Mentally add 32 and 200. Select the correct answer.,235,232,233,237,232,1,Easy
Math,Beginner (Grade 1-3),Mentally add 900 and 172. Select the correct answer.,1372,1272,1072,1172,1072,1,Easy
Math,Beginner (Grade 1-3),Mentally add 500 and 261. Select the correct answer.,661,660,764,761,761,1,Easy
Math,Beginner (Grade 1-3),Diane has Php 5600 in her bank account. She deposited Php 3700 today. How much is in her bank account now? Select the correct answer.,"Php 9,250","Php 9,300","Php 9,400","Php 9,100","Php 9,300",1,Easy
Math,Beginner (Grade 1-3),"In an airport, there are 4,231 passengers waiting for their flights to board. One batch of airplanes landed with 1,450 passengers. Another batch of airplanes landed with 2,093 passengers. How many passengers are now in the airport? Choose the correct answ",7975,7783,7774,7655,7774,1,Easy
Math,Beginner (Grade 1-3),"If your older brother bought a new pair of shoes that costs Php 3,200 and a pair of pants for Php 1,500, how much did your brother spend? Select the correct answer.","Php 4,605","Php 4,770","Php 4,774","Php 4,700","Php 4,700",1,Easy
Math,Beginner (Grade 1-3),"There are 2,000 chicken in a poultry farm. If 527 of the eggs hatched, how many chickens are now in the farm? Select the correct answer.",2427,2627,2527,2347,2527,1,Easy
Math,Beginner (Grade 1-3),"Ben's electric bill is Php 3,250 for January, Php 2,977 for February, and Php 3,106 for March. How much did Ben pay for three months of electricity? Select the correct answer.","Php 9,333","Php 8,991","Php 9,741","Php 8,907","Php 9,333",1,Easy
Math,Beginner (Grade 1-3),"Jillian bought 5 chocolates. When her father came home, he gave Jillian another 12 chocolates. What is missing in the problem?",Given,Asked,Answer,None,Asked,1,Easy
Math,Beginner (Grade 1-3),Martin has a few books in his shelf. He decided to buy some books to add to his collection. How many books is in his shelf now? What is missing in the problem?,None,Given,Answer,Asked,Given,1,Easy
Math,Beginner (Grade 1-3),Jessie put Php 15 in his piggy bank yesterday. Today he put Php 37 in his piggy bank. What is missing in the problem?,Asked,None,Answer,Given,Asked,1,Easy
Math,Beginner (Grade 1-3),Jessie put Php 15 in his piggy bank yesterday. Today he put Php 37 in his piggy bank. How much money did he put altogether?,Php 62,Php 52,Php 57,Php 67,Php 52,1,Easy
Math,Beginner (Grade 1-3),"What is the difference between 1,589 and 255?",1328,1423,1426,1334,1334,1,Easy
Math,Beginner (Grade 1-3),"What is the difference between 6,226 and 5,612?",624,654,614,612,614,1,Easy
Math,Beginner (Grade 1-3),"What is the difference between 2,177 and 717?",1460,1469,1614,1654,1460,1,Easy
Math,Beginner (Grade 1-3),"What is the difference between 4,129 and 1,603?",2522,2524,2523,2526,2526,1,Easy
Math,Beginner (Grade 1-3),"What is the difference between 9,888 and 8,999?",899,889,789,799,889,1,Easy
Math,Beginner (Grade 1-3),Estimate the difference of 1234 and 672.,400,300,200,100,300,1,Easy
Math,Beginner (Grade 1-3),Select the correct answer from the given choices. 7226 - 5152 = ,1000,4000,3000,2000,2000,1,Easy
Math,Beginner (Grade 1-3),Estimate the difference of 3974 and 612.,3600,3200,3400,3800,3400,1,Easy
Math,Beginner (Grade 1-3),Select the correct answer from the given choices. 1312 - 429 = ,900,600,800,700,600,1,Easy
Math,Beginner (Grade 1-3),Mentally subtract 34 and 3.,32,30,31,33,31,1,Easy
Math,Beginner (Grade 1-3),Select the correct answer from the given choices. 86 - 57 = ,27,29,31,34,29,1,Easy
Math,Beginner (Grade 1-3),Mentally subtract 44 and 9.,33,39,35,37,35,1,Easy
Math,Beginner (Grade 1-3),Select the correct answer from the given choices.,86,85,87,88,87,1,Easy
Math,Beginner (Grade 1-3),Mentally subtract 500 and 30.,450,480,460,470,470,1,Easy
Math,Beginner (Grade 1-3),Select the correct answer from the choices given. 800 - 57 = ___,743,734,737,746,743,1,Easy
Math,Beginner (Grade 1-3),Mentally subtract 200 and 72.,128,126,119,105,128,1,Easy
Math,Beginner (Grade 1-3),Select the correct answer from the choices given. 700 - 50 = ___,650,350,450,550,650,1,Easy
Math,Beginner (Grade 1-3),Diane has Php 600 in her bank account. She withdrew Php 300 today. How much is in her bank account now? The given is Php 600 and Php 300.,php 100,Php 250,Php 400,Php 300,Php 300,1,Easy
Math,Beginner (Grade 1-3),"In a basketball game, Jordan scored 49 points. They won the game with a score of 127 points. How many points were made by his teammates?",81 points,69 points,78 points,90 points,78 points,1,Easy
Math,Beginner (Grade 1-3),Which is not a given? Daphne bought one kilo of chicken at Php 115. She paid 500-peso bill. How much is her change?,Php 100,Php 200,Php 500,php 115,Php 200,1,Easy
Math,Beginner (Grade 1-3),Ana organized a party for Mother's day. She invited 400 mothers but only 276 attended the party. What is missing in the problem?,Given,What is asked?,Answer,None,What is asked?,1,Easy
Math,Beginner (Grade 1-3),"The seating capacity in an opera house can contain many people. During the show, all the people who bought tickets were able to take a seat. How many seats are still not occupied? What is missing in the problem?",None,Given,Answer,Asked,Given,1,Easy
Math,Beginner (Grade 1-3),Jason have 324 books to be donated. He just gave 120 books to an orphanage when Trisha gave him 43 books more. What is missing in the problem?,Asked,None,Answer,Given,Asked,1,Easy
Math,Beginner (Grade 1-3),Jason have 324 books to be donated. He just gave 120 books to an orphanage when Trisha gave him 43 books more. How many books does Jason have now? What is the operation to be used in solving the problem?,Subtraction,Addition,Addition and Subtraction,None,Addition and Subtraction,1,Easy
Math,Beginner (Grade 1-3),Three times seven is equal to? Select the correct answer.,12,28,14,21,21,1,Easy
Math,Beginner (Grade 1-3),Four times nine is equal to? Select the correct answer.,34,27,28,36,36,1,Easy
Math,Beginner (Grade 1-3),Ten times six is equal to?,60,50,55,30,60,1,Easy
Math,Beginner (Grade 1-3),Six times eight is equal to?,48,46,52,54,48,1,Easy
Math,Beginner (Grade 1-3),Five times seven is equal to?,32,36,35,25,35,1,Easy
Math,Beginner (Grade 1-3),What is the product of five and nine? Select the correct answer.,50,40,45,35,45,1,Easy
Math,Beginner (Grade 1-3),What is the product of 8 and 2? Select the correct answer.,16,8,1,10,16,1,Easy
Math,Beginner (Grade 1-3),What is the product of ten and zero? Select the correct answer.,10,1,100,0,0,1,Easy
Math,Beginner (Grade 1-3),What is the product of six and ten? Select the correct answer.,6,30,60,1,60,1,Easy
Math,Beginner (Grade 1-3),What is the product of twelve and one? Select the correct answer.,6,12,120,1,12,1,Easy
Math,Beginner (Grade 1-3),"Given 6 and 7, which of the following shows the commutative property of multiplication?",6 x 7 = 7 x 6 = 42,6 x 6 = 7 x 6 = 42,7 x 7 = 7 x 6 = 42,7 x 6 = 7 x 6 = 42,6 x 7 = 7 x 6 = 42,1,Easy
Math,Beginner (Grade 1-3),"Given 8 and 9, which of the following shows the commutative property of multiplication?",8 x 9 = 9 x 8 = 72,9 x 8 = 9 x 8 = 81,9 x 8 = 8 x 9 = 81,8 x 9 = 9 x 9 = 72,8 x 9 = 9 x 8 = 72,1,Easy
Math,Beginner (Grade 1-3),"Given 5 and 6, which of the following shows the commutative property of multiplication?",6 x 5 = 5 x 6 = 31,6 x 5 = 5 x 6 = 32,5 x 6 = 6 x 5 = 30,5 x 6 = 6 x 6 = 31,5 x 6 = 6 x 5 = 30,1,Easy
Math,Beginner (Grade 1-3),"Given 11 and 7, which of the following shows the commutative property of multiplication?",11 x 7 = 7 x 11 = 71,7 x 11 = 11 x 7 = 70,11 x 7 = 7 x 11 = 77,7 x 11 = 11 x 7 = 67,11 x 7 = 7 x 11 = 77,1,Easy
Math,Beginner (Grade 1-3),"Given 4 and 9, which of the following shows the commutative property of multiplication?",4 x 9 = 4 x 9 = 27,4 x 9 = 9 x 4 = 36,9 x 4 = 4 x 9 = 37,9 x 4 = 4 x 9 = 40,4 x 9 = 9 x 4 = 36,1,Easy
Math,Beginner (Grade 1-3),What is the product of twelve and four? Select the correct answer.,42,36,48,40,48,1,Easy
Math,Beginner (Grade 1-3),What is the product of twenty-two and three? Select the correct answer.,66,46,36,56,66,1,Easy
Math,Beginner (Grade 1-3),What is the product of thirty-one and five? Select the correct answer.,85,150,65,155,155,1,Easy
Math,Beginner (Grade 1-3),What is the possible regrouping of the factors? Select the correct answer.,(10 + 6) x 7,(1 + 6) x 6,(10 + 6) x 8,(10 + 6) x 6,(10 + 6) x 6,1,Easy
Math,Beginner (Grade 1-3),What is the possible regrouping of the factors? Select the correct answer.,(10 + 3) x 9,(10 + 4) x 9,(10 + 9) x 4,(10 + 9) x 3,(10 + 9) x 3,1,Easy
Math,Beginner (Grade 1-3),"What is the product of 5, 3, 4?",60,20,15,12,60,1,Easy
Math,Beginner (Grade 1-3),"Find the product of 6, 2, and 8. Select the correct answer.",69,16,18,96,96,1,Easy
Math,Beginner (Grade 1-3),"What is the product of 7, 5, 9? Select the correct answer.",56,310,315,35,315,1,Easy
Math,Beginner (Grade 1-3),"Find the product of 6, 4, and 6. Select the correct answer.",84,24,94,144,144,1,Easy
Math,Beginner (Grade 1-3),"What is the product of 9, 3, 2? Select the correct answer.",44,27,64,54,54,1,Easy
Math,Beginner (Grade 1-3),What is the product of 13 and 7? Select the correct answer.,91,90,84,81,91,1,Easy
Math,Beginner (Grade 1-3),What is the product of 21 and 4? Select the correct answer.,64,74,84,48,84,1,Easy
Math,Beginner (Grade 1-3),What is the product of 121 and 5? Select the correct answer.,605,600,506,650,605,1,Easy
Math,Beginner (Grade 1-3),What is the product of 122 and 6? Select the correct answer.,1333,1222,1300,1332,1332,1,Easy
Math,Beginner (Grade 1-3),What is the product of 91 and 8? Select the correct answer.,726,728,782,788,728,1,Easy
Math,Beginner (Grade 1-3),What is the product of 36 and 12? Select the correct answer.,440,422,412,432,432,1,Easy
Math,Beginner (Grade 1-3),What is the product of 93 and 21? Select the correct answer.,1835,1993,1953,1853,1953,1,Easy
Math,Beginner (Grade 1-3),What is the product of 45 and 31? Select the correct answer.,1395,1235,1625,1635,1395,1,Easy
Math,Beginner (Grade 1-3),What is the product of 52 and 40? Select the correct answer.,2080,2280,2190,2380,2080,1,Easy
Math,Beginner (Grade 1-3),What is the product of 23 and 33? Select the correct answer.,429,795,729,759,759,1,Easy
Math,Beginner (Grade 1-3),What is the product of 45 and 62? Select the correct answer.,2790,2290,2590,1290,2790,1,Easy
Math,Beginner (Grade 1-3),What is the product of 56 and 36? Select the correct answer.,2106,1016,3016,2016,2016,1,Easy
Math,Beginner (Grade 1-3),What is the product of 73 and 28? Select the correct answer.,2034,2044,1245,2145,2044,1,Easy
Math,Beginner (Grade 1-3),What is the product of 82 and 15? Select the correct answer.,1320,1350,1230,1520,1230,1,Easy
Math,Beginner (Grade 1-3),What is the product of 52 and 49? Select the correct answer.,2548,2435,1258,2358,2548,1,Easy
Math,Beginner (Grade 1-3),What is the product of 59 and 10? Select the correct answer.,590,5950,5800,5900,590,1,Easy
Math,Beginner (Grade 1-3),What is the product of 168 and 100? Select the correct answer.,16800,1680,1670,168700,16800,1,Easy
Math,Beginner (Grade 1-3),What is the product of 920 and 10? Select the correct answer.,92500,9200,93000,92000,9200,1,Easy
Math,Beginner (Grade 1-3),What is the product of 540 and 100? Select the correct answer.,54000,54500,54041,5400,54000,1,Easy
Math,Beginner (Grade 1-3),"690 x ___ = 69,000. Select the correct answer.",10,100,1,1000,100,1,Easy
Math,Beginner (Grade 1-3),What is the product of 8 and 1000? Select the correct answer.,8,800,80,8000,8000,1,Easy
Math,Beginner (Grade 1-3),What is the product of 25 and 1000? Select the correct answer.,250,25,25100,25000,25000,1,Easy
Math,Beginner (Grade 1-3),"___ x 1,000 = 6,000",60,6,600,660,6,1,Easy
Math,Beginner (Grade 1-3),"___ x 1,000 = 43,000",435,430,4300,43,43,1,Easy
Math,Beginner (Grade 1-3),"___ x 1,000 = 70,000",70,7,777,700,70,1,Easy
Math,Beginner (Grade 1-3),Estimate the product of the given numbers. 23 x 6 = ___. Select the best estimate.,150,120,180,170,120,1,Easy
Math,Beginner (Grade 1-3),Estimate the produt of the given numbers. 52 x 73 = ___. Select the best estimate.,3300,3500,3200,3700,3500,1,Easy
Math,Beginner (Grade 1-3),Estimate the product of the given numbers. 136 x 11 = ___. Select the best estimate.,1600,1700,1400,1500,1400,1,Easy
Math,Beginner (Grade 1-3),Estimate the product of the given numbers. 41 x 78 = ___. Select the best estimate.,3100,3200,3300,3500,3200,1,Easy
Math,Beginner (Grade 1-3),Estimate the produt of the given numbers. 246 x 4 = ___. Select the best estimate.,500,1000,1200,900,1000,1,Easy
Math,Beginner (Grade 1-3),Multiply 32 by 2. Select the correct answer.,64,46,84,67,64,1,Easy
Math,Beginner (Grade 1-3),Multiply 12 by 4. Select the correct answer.,48,74,64,84,48,1,Easy
Math,Beginner (Grade 1-3),Multiply 32 by 3. Select the correct answer.,69,86,96,76,96,1,Easy
Math,Beginner (Grade 1-3),Multiply 34 by 2. Select the correct answer.,68,86,96,72,68,1,Easy
Math,Beginner (Grade 1-3),Multiply 41 by 5. Select the correct answer.,205,105,305,210,205,1,Easy
Math,Beginner (Grade 1-3),Maria bought five t-shirts that costs PHP 175 each. How much did Maria pay for the five t-shirts? Select the correct answer.,PHP 760,PHP 560,PHP 900,PHP 875,PHP 875,1,Easy
Math,Beginner (Grade 1-3),Uncle Fred has three farms. He wants to buy 15 chickens for each farm. How many chickens does Uncle Fred need to buy? Select the correct answer.,50 chickens,36 chickens,27 chickens,45 chickens,45 chickens,1,Easy
Math,Beginner (Grade 1-3),Lorenz can wash 12 plates in one minute. How many plates can Lorenz wash in 5 minutes? Select the correct answer.,50 plates,70 plates,60 plates,80 plates,60 plates,1,Easy
Math,Beginner (Grade 1-3),"If you received PHP 74 pesos from one person, how much money will you have if four other people gave you the same amount? Select the correct answer.",PHP 370,PHP 500,PHP 120,PHP 420,PHP 370,1,Easy
Math,Beginner (Grade 1-3),A farmer can harvest 5 kilograms of rice in one plot. How many kilograms of rice can he harvest if he has 21 plots?,105 kilograms,120 kilograms,110 kilograms,115 kilograms,105 kilograms,1,Easy
Math,Beginner (Grade 1-3),"Eight pieces of chicken legs weigh one kilogram. Lucy bought 6 kilograms of chicken legs. If she cooked 15 pieces of chicken legs, how many chicken legs were left? Select the correct answer.",33 pieces,47 pieces,29 pieces,18 pieces,33 pieces,1,Easy
Math,Beginner (Grade 1-3),"In a farm, there are 5 cages containing chickens. N each cage, there are 5 hens and 3 roosters. How many chickens are there all in all? Select the correct answer.",36 chickens,40 chickens,27 chickens,50 chickens,40 chickens,1,Easy
Math,Beginner (Grade 1-3),"Marjorie has bought three t-shirts that costs PHP 250 each. If she gave a 1000-peso bill to the cashier, how much is her change? Select the correct answer.",PHP 190,PHP 250,PHP 245,PHP 360,PHP 250,1,Easy
Math,Beginner (Grade 1-3),"In an elementary school, there are 12 classrooms. There are 35 pupils in each classroom except for two classrooms which have 40 pupils each. What is the total number of pupils? Select the correct answer.",510 pupils,390 pupils,430 pupils,700 pupils,430 pupils,1,Easy
Math,Beginner (Grade 1-3),Your five uncles gave you PHP 50 each. Your three aunts also gave you PHP 70 each. How much money did you receive? Select the correct answer.,PHP 460,PHP 620,PHP 340,PHP 510,PHP 460,1,Easy
Math,Beginner (Grade 1-3),"Karen can walk 3 kilometers in an hour. She took a rest after walking for 4 hours. Then, she walked 1 kilometer again. What is missing from the problem? Select the correct answer.",What is asked?,None,Given,Situation,What is asked?,1,Easy
Math,Beginner (Grade 1-3),"Matilda received five 200-peso bills during her birthday party. After the party, she received another PHP 300 from her father. What is the total money that Matilda received? What is missing from the problem? Select the correct answer.",Situation,What is asked?,Given,None,None,1,Easy
Math,Beginner (Grade 1-3),"In a market, Linda bought some kilograms of fish. She bought some other kilograms of chicken. How many kilograms did she buy all in all? What is missing from the problem? Select the correct answer.",None,Situation,Given,What is asked?,Given,1,Easy
Math,Beginner (Grade 1-3),Rina has six 1000-peso bills. Rina bought some clothes. What is missing from the problem? Select the correct answer.,What is asked?,None,Given,Situation,Situation,1,Easy
Math,Beginner (Grade 1-3),"Pedro and Juan weighs the same. If Pedro lost some pounds, what is the total weight of Pedro and Juan combined? What is missing from the problem? Select the correct answer.",Situation,What is asked?,Given,None,Given,1,Easy
Math,Beginner (Grade 1-3),Which of the following is not a multiple of 9?,63,81,46,72,46,1,Easy
Math,Beginner (Grade 1-3),"Which of the following is the missing multiple of forty-five? 45, 90, 135, _____",164,175,180,191,180,1,Easy
Math,Beginner (Grade 1-3),"Which of the following is the missing multiple of nine? 9, 18, 27, ___, 45",37,36,35,34,36,1,Easy
Math,Beginner (Grade 1-3),Which of the following is not a multiple of 57?,798,227,456,342,227,1,Easy
Math,Beginner (Grade 1-3),Choose the correct quotient. 36 ÷ 6 = ___,6,5,7,8,6,1,Easy
Math,Beginner (Grade 1-3),Choose the correct quotient. 72 ÷ 8 = ___,9,7,8,6,9,1,Easy
Math,Beginner (Grade 1-3),Choose the correct quotient. 56 ÷ 7 = ___,6,9,8,7,8,1,Easy
Math,Beginner (Grade 1-3),Choose the correct quotient. 32 ÷ 8 = ___,5,4,6,7,4,1,Easy
Math,Beginner (Grade 1-3),Choose the correct quotient. 49 ÷ 7 = ___,7,5,6,4,7,1,Easy
Math,Beginner (Grade 1-3),Choose the correct quotient. 36 ÷ 4 = ___,6,9,8,7,9,1,Easy
Math,Beginner (Grade 1-3),Choose the correct quotient. 28 ÷ 7 = ___,5,6,4,3,4,1,Easy
Math,Beginner (Grade 1-3),Choose  the correct quotient. 40 ÷ 8 = ___,10,2,4,5,5,1,Easy
Math,Beginner (Grade 1-3),Choose the correct quotient. 18 ÷ 3 = ___,4,7,6,5,6,1,Easy
Math,Beginner (Grade 1-3),Choose the correct quotient. 90 ÷ 9 = ___,9,4,10,7,10,1,Easy
Math,Beginner (Grade 1-3),Perform the indicated operation and choose the correct answer. 39 ÷ 3 = ?,19,16,13,12,13,1,Easy
Math,Beginner (Grade 1-3),Perform the indicated operation and choose the correct answer. 85 ÷ 5 = ?,17,13,19,15,17,1,Easy
Math,Beginner (Grade 1-3),Perform the indicated operation and choose the correct answer. 84 ÷ 4 = ?,21,19,20,22,21,1,Easy
Math,Beginner (Grade 1-3),Perform the indicated operation. 44 ÷ 22 = ?,4,1,2,0,2,1,Easy
Math,Beginner (Grade 1-3),Perform the indicated operation. 98 ÷ 14 = ___,6,9,8,7,7,1,Easy
Math,Beginner (Grade 1-3),Perform the indicated operation and choose the correct answer. 393 ÷ 3 = ?,313,131,262,626,131,1,Easy
Math,Beginner (Grade 1-3),Perform the indicated operation and choose the correct answer. 285 ÷ 5 = ?,57,47,37,27,57,1,Easy
Math,Beginner (Grade 1-3),Perform the indicated operation and choose the correct answer. 784 ÷ 4 = ?,196,226,206,216,196,1,Easy
Math,Beginner (Grade 1-3),Perform the indicated operation. 484 ÷ 22 = ___,22,11,33,44,22,1,Easy
Math,Beginner (Grade 1-3),Perform the indicated operation. 975 ÷ 15 = ___,72,62,75,65,65,1,Easy
Math,Beginner (Grade 1-3),Perform the indicated operation and choose the correct answer. 39 ÷ 4 = ?,9 remainder 3,9 remainder 1,10 remainder 1,10 remainder 3,9 remainder 3,1,Easy
Math,Beginner (Grade 1-3),Perform the indicated operation and choose the correct answer. 85 ÷ 6 = ?,14 remainder 3,13 remainder 1,13 remainder 3,14 remainder 1,14 remainder 1,1,Easy
Math,Beginner (Grade 1-3),Perform the indicated operation and choose the correct answer. 97 ÷ 7 = ?,13 remainder 3,13 remainder 4,13 remainder 5,13 remainder 6,13 remainder 6,1,Easy
Math,Beginner (Grade 1-3),Perform the indicated operation. Find the quotient and remainder. 49 ÷ 22 ___ remainder ___,2 remainder 5,2 remainder 3,3 remainder 5,2 remainder 4,2 remainder 5,1,Easy
Math,Beginner (Grade 1-3),Perform the indicated operation. Find the quotient and remainder. 98 ÷ 9 ___ remainder ___,9 remainder 8,8 remainder 8,8 remainder 9,9 remainder 9,9 remainder 8,1,Easy
Math,Beginner (Grade 1-3),Perform the indicated operation and choose the correct answer. 493 ÷ 3 = ?,194 remainder 1,124 remainder 1,164 remainder 1,134 remainder 1,164 remainder 1,1,Easy
Math,Beginner (Grade 1-3),Perform the indicated operation and choose the correct answer. 185 ÷ 7 = ?,27 remainder 5,27 remainder 1,26 remainder 3,26 remainder 1,26 remainder 3,1,Easy
Math,Beginner (Grade 1-3),Perform the indicated operation and choose the correct answer. 465 ÷ 9 = ?,50 remainder 5,53 remainder 3,52 remainder 4,51 remainder 6,51 remainder 6,1,Easy
Math,Beginner (Grade 1-3),Perform the indicated operation. Find the quotient and the remainder. 989 ÷ 11 = ___ remainder ___,98 remainder 11,89 remainder 11,98 remainder 10,89 remainder 10,89 remainder 10,1,Easy
Math,Beginner (Grade 1-3),Perform the indicated operation. Find the quotient and the remainder. 256 ÷ 13 = ___ remainder ___,19 remainder 8,18 remainder 8,18 remainder 9,19 remainder 9,19 remainder 9,1,Easy
Math,Beginner (Grade 1-3),Perform the indicated operation and choose the correct answer. 140 ÷ 100 = ?,1 remainder 40,14,1 remainder 4,14 remainder 10,1 remainder 40,1,Easy
Math,Beginner (Grade 1-3),Perform the indicated operation and choose the correct answer. 180 ÷ 10 = ?,108,18,10 remainder 8,18 remainder 8,18,1,Easy
Math,Beginner (Grade 1-3),Perform the indicated operation and choose the correct answer. 460 ÷ 10,64,4 remainder 6,46 remainder 4,46,46,1,Easy
Math,Beginner (Grade 1-3),Perform the indicated operation and choose the correct answer. 989 ÷ 10 = ___ remainder ___,98 remainder 9,98 remainder 8,89 remainder 9,89 remainder 8,98 remainder 9,1,Easy
Math,Beginner (Grade 1-3),Perform the indicated operation and choose the correct answer. 206 ÷ 100 = ___ remainder ___,6 remainder 3,2 remainder 6,3 remainder 6,6 remainder 2,2 remainder 6,1,Easy
Math,Beginner (Grade 1-3),Which of the following is the best estimate for the operation? 539 ÷ 6 = ? Select the correct answer.,530 ÷ 6,550 ÷ 6,560 ÷ 6,540 ÷ 6,540 ÷ 6,1,Easy
Math,Beginner (Grade 1-3),Which of the following is the best estimate for the operation? 475 ÷ 8 = ? Select the correct answer.,480 ÷ 8,475 ÷ 10,485 ÷ 8,490 ÷ 8,480 ÷ 8,1,Easy
Math,Beginner (Grade 1-3),Which of the following is the best estimate for the operation? 448 ÷ 21 = ? Select the correct answer.,435 ÷ 20,450 ÷ 20,425 ÷ 20,400 ÷ 20,450 ÷ 20,1,Easy
Math,Beginner (Grade 1-3),Estimate the quotient. 346 ÷ 7 = ___ Select the correct answer.,45,60,55,50,50,1,Easy
Math,Beginner (Grade 1-3),Estimate the quotient. 170 ÷ 15 = ___ Select the correct answer.,20,15,25,30,15,1,Easy
Math,Beginner (Grade 1-3),Perform the indicated operation and choose the correct answer. 48 ÷ 3 = ?,19,16,13,12,16,1,Easy
Math,Beginner (Grade 1-3),Perform the indicated operation and choose the correct answer. 70 ÷ 5 = ?,17,13,14,15,14,1,Easy
Math,Beginner (Grade 1-3),Perform the indicated operation and choose the correct answer. 55 ÷ 5 = ?,21,11,10,12,11,1,Easy
Math,Beginner (Grade 1-3),Perform the indicated operation and choose the correct answer. 72 ÷ 9 = ___,6,8,5,7,8,1,Easy
Math,Beginner (Grade 1-3),Perform the indicated operation and choose the correct answer. 63 ÷ 9 = ___,6,9,8,7,7,1,Easy
